fdc_id,food_code,description,wweia_category_number,wweia_category_description,state_hint,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,atwater_kcal,atwater_ratio,publication_date
2705823,21001000,"Steak, NS as to type of meat, NS as to fat eaten",2002,"Beef, excludes ground",,230,26.95,0,12.99,0,0,367,224.7,0.977,2022-10-28
2706592,27311410,"Stew, beef",3002,Meat mixed dishes,,107,8.76,6.29,5.07,1.3,1.57,307,105.8,0.989,2022-10-28
2706591,27311310,"Stew, beef, canned",3002,Meat mixed dishes,,100,5,6.54,5.96,1.1,1.06,395,99.8,0.998,2022-10-28
2706593,27311430,"Stew, beef, with pasta",3002,Meat mixed dishes,,132,9.76,10.81,5.23,1.1,0.92,299,129.4,0.980,2022-10-28
2706678,27341520,"Stew, chicken",3004,Poultry mixed dishes,,84,9.24,6.29,2.34,1.3,1.57,309,83.2,0.990,2022-10-28
2706677,27341330,"Stew, chicken, with pasta",3004,Poultry mixed dishes,,108,10.24,10.81,2.49,1.1,0.92,301,106.6,0.987,2022-10-28
2706466,27151070,"Stew, fish",3006,Seafood mixed dishes,,46,7.63,2.75,0.42,0.5,0.63,273,45.3,0.985,2022-10-28
2706660,27330210,"Stew, lamb",3002,Meat mixed dishes,,117,8.19,6.29,6.39,1.3,1.57,308,115.4,0.987,2022-10-28
2706721,27360000,"Stew, NFS",3002,Meat mixed dishes,,99,8.93,6.29,4.11,1.3,1.57,308,97.9,0.989,2022-10-28
2706519,27221150,"Stew, pork",3002,Meat mixed dishes,,109,8.35,6.29,5.42,1.3,1.57,304,107.3,0.985,2022-10-28
2706520,27221170,"Stew, pork, with pasta",3002,Meat mixed dishes,,133,9.35,10.81,5.58,1.1,0.92,296,130.9,0.984,2022-10-28
2710063,75439010,"Stew, vegetable",3104,Vegetable dishes,,47,1.41,10.07,0.24,2.1,2.51,296,48.1,1.023,2022-10-28
2706424,27141050,"Stewed chicken with tomato-based sauce, Mexican style",3004,Poultry mixed dishes,,120,11.98,2.48,7.06,0.4,0.97,397,121.4,1.012,2022-10-28
2706877,27462000,"Stewed chitterlings, Puerto Rican style",3002,Meat mixed dishes,,214,8.38,3.83,18.5,0.9,2.04,55,215.3,1.006,2022-10-28
2706397,27118130,"Stewed dried beef, Puerto Rican style",3002,Meat mixed dishes,,258,17.69,3.91,19.13,0.8,2.54,1770,258.6,1.002,2022-10-28
2706878,27463000,"Stewed gizzards, Puerto Rican style",3004,Poultry mixed dishes,,179,20.26,4.41,8.69,1.1,1.94,380,176.9,0.988,2022-10-28
2706414,27133010,"Stewed goat, Puerto Rican style",3002,Meat mixed dishes,,265,22.32,1.98,18.08,0.5,0.88,752,259.9,0.981,2022-10-28
2706518,27221100,"Stewed pig's feet, Puerto Rican style",3002,Meat mixed dishes,,136,9.99,4.13,8.7,0.5,0.75,483,134.8,0.991,2022-10-28
2706412,27121010,"Stewed pork, Puerto Rican style",3002,Meat mixed dishes,,200,17.91,2.75,12.69,0.6,1.29,579,196.8,0.984,2022-10-28
2709554,71703990,Stewed potatoes,6806,Mashed potatoes and white potato mixtures,,103,1.99,16.26,3.39,2.1,0.96,147,103.5,1.005,2022-10-28
2709555,71704000,Stewed potatoes with tomatoes,6806,Mashed potatoes and white potato mixtures,,87,1.71,12.89,3.29,1.9,1.68,146,88.0,1.012,2022-10-28
2709416,71106000,"Stewed potatoes, Puerto Rican style",6806,Mashed potatoes and white potato mixtures,,115,2.09,18.75,3.71,1.8,1.24,299,116.8,1.015,2022-10-28
2706661,27335500,"Stewed rabbit, Puerto Rican style,",3002,Meat mixed dishes,,214,17.14,6.83,12.7,1,0.92,440,210.2,0.982,2022-10-28
2708976,58155810,"Stewed rice, Puerto Rican style",3202,Rice mixed dishes,,224,3.96,33.43,7.8,0.7,0.34,654,219.8,0.981,2022-10-28
2706578,27251010,"Stewed salmon, Puerto Rican style",3006,Seafood mixed dishes,,146,12.02,8.47,7.02,1.3,1.27,448,145.1,0.994,2022-10-28
2706393,27116350,"Stewed seasoned ground beef, Mexican style",3002,Meat mixed dishes,,169,14.27,1.28,11.38,0.2,0.41,464,164.6,0.974,2022-10-28
2706396,27118120,"Stewed seasoned ground beef, Puerto Rican style",3002,Meat mixed dishes,,278,13.75,3.83,22.81,0.9,1.75,868,275.6,0.991,2022-10-28
2706725,27362000,"Stewed tripe, with potatoes, Puerto Rican style",3002,Meat mixed dishes,,109,8.56,9.49,4.05,1.6,2.03,561,108.7,0.997,2022-10-28
2706586,27261500,"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",3002,Meat mixed dishes,,143,12.84,4.16,8.02,0.6,0.49,193,140.2,0.980,2022-10-28
2706472,27162500,"Stewed, seasoned, ground beef and pork, Mexican style",3002,Meat mixed dishes,,139,16.7,1.45,6.98,0.2,0.46,338,135.4,0.974,2022-10-28
2706479,27211550,"Stewed, seasoned, ground beef with potatoes, Mexican style",3002,Meat mixed dishes,,137,10.42,5.6,7.88,0.8,0.71,333,135.0,0.985,2022-10-28
2706751,27416400,Stir fried beef and vegetables in soy sauce,3404,Stir-fry and soy-based sauce mixtures,,102,10.73,4.44,4.81,1,2.58,338,104.0,1.019,2022-10-28
2709284,63223110,"Strawberries, canned",6009,Strawberries,,92,0.56,23.53,0.26,1.7,21.83,4,98.7,1.073,2022-10-28
2709285,63223610,"Strawberries, frozen",6009,Strawberries,,35,0.43,9.13,0.11,2.1,4.56,2,39.2,1.121,2022-10-28
2709283,63223020,"Strawberries, raw",6009,Strawberries,raw,36,0.64,7.96,0.22,1.8,4.86,0,36.4,1.011,2022-10-28
2705591,11830400,"Strawberry beverage powder, dry mix, not reconstituted",9999,Not included in a food category,,389,0.1,99.1,0.2,0,95.45,38,398.6,1.025,2022-10-28
2710279,91301130,Strawberry drink syrup,8806,"Jams, syrups, toppings",,261,0,65.1,0.02,0,65,0,260.6,0.998,2022-10-28
2709332,64132500,"Strawberry juice, 100%",7006,Other fruit juice,,23,0.42,5.17,0.14,1.2,3.16,1,23.6,1.027,2022-10-28
2705499,11519205,"Strawberry milk, fat free  (skim)",1208,"Flavored milk, nonfat",,61,3.18,12.06,0.09,0,11.9,41,61.8,1.013,2022-10-28
2705498,11519200,"Strawberry milk, low fat (1%)",1206,"Flavored milk, lowfat",,69,3.13,12.3,0.89,0,11.82,39,69.7,1.011,2022-10-28
2705495,11519040,"Strawberry milk, NFS",1204,"Flavored milk, reduced fat",,65,3.2,8.54,2.06,0,8.45,39,65.5,1.008,2022-10-28
2705497,11519105,"Strawberry milk, reduced fat (2%)",1204,"Flavored milk, reduced fat",,71,3.16,10.7,1.8,0,10.46,39,71.6,1.009,2022-10-28
2705500,11519210,"Strawberry milk, reduced sugar",1206,"Flavored milk, lowfat",,59,3.27,6.72,2.1,0,6.69,39,58.9,0.998,2022-10-28
2705496,11519050,"Strawberry milk, whole",1202,"Flavored milk, whole",,86,3.03,11.79,2.97,0,11.68,38,86.0,1.000,2022-10-28
2708039,53440000,"Strudel, apple",5502,Cakes and pies,,281,1.96,37.18,14.08,0.8,21.1,132,283.3,1.008,2022-10-28
2708040,53440300,"Strudel, berry",5502,Cakes and pies,,291,2.43,39.23,14.24,2.7,21.7,131,294.8,1.013,2022-10-28
2708042,53440600,"Strudel, cheese",5502,Cakes and pies,,358,5.85,39.14,19.81,0.4,19.41,190,358.2,1.001,2022-10-28
2708041,53440500,"Strudel, cherry",5502,Cakes and pies,,296,2.22,40.68,14.1,1,24.84,131,298.5,1.008,2022-10-28
2708043,53440700,"Strudel, peach",5502,Cakes and pies,,281,2.09,36.73,14.08,0.9,20.87,133,282.0,1.004,2022-10-28
2706620,27315250,Stuffed cabbage rolls with beef and rice,3002,Meat mixed dishes,,114,8.3,8.83,5.06,1.3,3.45,338,114.1,1.001,2022-10-28
2710143,77316510,"Stuffed cabbage, with meat and rice, Syrian dish, Puerto Rican style",3002,Meat mixed dishes,,84,3.14,11.14,2.95,1.8,2.31,147,83.7,0.996,2022-10-28
2710142,77316010,"Stuffed cabbage, with meat, Puerto Rican style",3002,Meat mixed dishes,,207,9.56,8.41,15.13,2.3,4.58,723,208.1,1.005,2022-10-28
2706446,27148010,"Stuffed chicken, drumstick or breast, Puerto Rican style",3004,Poultry mixed dishes,,236,28.4,6.51,10.54,0.3,0.36,901,234.5,0.994,2022-10-28
2706621,27315270,Stuffed grape leaves with beef and rice,3002,Meat mixed dishes,,228,8.15,11.3,17.03,3.1,2.48,420,231.1,1.013,2022-10-28
2706659,27330170,Stuffed grape leaves with lamb and rice,3002,Meat mixed dishes,,271,8.17,11.89,21.52,3.3,2.39,71,273.9,1.011,2022-10-28
2706633,27319010,"Stuffed green pepper, Puerto Rican style",3002,Meat mixed dishes,,152,8.89,15.63,5.84,1.7,3.48,732,150.6,0.991,2022-10-28
2710045,75410550,Stuffed jalapeno pepper,3208,Turnovers and other grain-based items,,241,8.82,16.5,15.93,2.5,3.73,444,244.7,1.015,2022-10-28
2709072,58162090,"Stuffed pepper, with meat",3104,Vegetable dishes,,198,9.2,4.23,15.87,0.7,1.59,288,196.5,0.993,2022-10-28
2709073,58162110,"Stuffed pepper, with rice and meat",3104,Vegetable dishes,,178,7.83,9.93,11.66,0.7,2.22,320,176.0,0.989,2022-10-28
2709074,58162120,"Stuffed pepper, with rice, meatless",3104,Vegetable dishes,,166,3.75,12.02,11.28,0.7,1.51,186,164.6,0.992,2022-10-28
2708782,58134160,"Stuffed shells, cheese- and spinach- filled, no sauce",3204,"Pasta mixed dishes, excludes macaroni and cheese",,187,9.56,22.36,6.63,1,0.32,439,187.4,1.002,2022-10-28
2708779,58134110,"Stuffed shells, cheese-filled, no sauce",3204,"Pasta mixed dishes, excludes macaroni and cheese",,205,9.93,22.21,8.51,0.7,0.53,428,205.2,1.001,2022-10-28
2708781,58134130,"Stuffed shells, cheese-filled, with meat sauce",3204,"Pasta mixed dishes, excludes macaroni and cheese",,158,8.46,16.64,6.54,1,1.97,300,159.3,1.008,2022-10-28
2708780,58134120,"Stuffed shells, cheese-filled, with tomato sauce, meatless",3204,"Pasta mixed dishes, excludes macaroni and cheese",,146,7,16.88,5.76,0.9,1.76,422,147.4,1.009,2022-10-28
2708783,58134210,"Stuffed shells, with chicken, with tomato sauce",3204,"Pasta mixed dishes, excludes macaroni and cheese",,136,10.76,16.3,3.36,1.1,2.08,277,138.5,1.018,2022-10-28
2708784,58134310,"Stuffed shells, with fish and/or shellfish, with tomato sauce",3204,"Pasta mixed dishes, excludes macaroni and cheese",,116,8.85,16.11,1.94,1.1,2.05,330,117.3,1.011,2022-10-28
2709075,58162130,"Stuffed tomato, with rice and meat",3104,Vegetable dishes,,99,4.75,9.86,4.54,1,2.05,183,99.3,1.003,2022-10-28
2709076,58162140,"Stuffed tomato, with rice, meatless",3104,Vegetable dishes,,77,1.59,13.05,2.15,1.1,2.27,123,77.9,1.012,2022-10-28
2710606,92612010,Sugar cane beverage,7204,Fruit drinks,,74,0,20.17,0,0,20.17,43,80.7,1.090,2022-10-28
2710262,91106010,Sugar substitute and sugar blend,8804,Sugar substitutes,,399,0,99.35,0.31,0,99.22,1,400.2,1.003,2022-10-28
2710271,91201010,"Sugar substitute, aspartame, powder",8804,Sugar substitutes,,365,2.17,89.08,0,0,80.7,0,365.0,1.000,2022-10-28
2710268,91200005,"Sugar substitute, liquid, NFS",8804,Sugar substitutes,,51,0.8,11.99,0,0.7,0.01,210,51.2,1.003,2022-10-28
2710266,91108020,"Sugar substitute, monk fruit, powder",8804,Sugar substitutes,,0,0,100,0,0,0,0,400.0,,2022-10-28
2710267,91200000,"Sugar substitute, powder, NFS",8804,Sugar substitutes,,349,0.66,90.14,0,0,82.09,150,363.2,1.041,2022-10-28
2710270,91200110,"Sugar substitute, saccharin, liquid",8804,Sugar substitutes,,8,0.02,2.05,0,0,1.96,13,8.3,1.035,2022-10-28
2710269,91200040,"Sugar substitute, saccharin, powder",8804,Sugar substitutes,,360,0.94,89.11,0,0,85.19,428,360.2,1.001,2022-10-28
2710265,91108010,"Sugar substitute, stevia, liquid",8804,Sugar substitutes,,51,0.8,11.99,0,0.7,0.01,210,51.2,1.003,2022-10-28
2710264,91108000,"Sugar substitute, stevia, powder",8804,Sugar substitutes,,0,0,100,0,0,0,0,400.0,,2022-10-28
2710263,91107000,"Sugar substitute, sucralose, powder",8804,Sugar substitutes,,336,0,91.17,0,0,80.33,0,364.7,1.085,2022-10-28
2710260,91102010,"Sugar, brown",8802,Sugars and honey,,380,0.12,98.09,0,0,97.02,28,392.8,1.034,2022-10-28
