fdc_id,food_code,description,portion_description,gram_weight
2705383,11000000,"Milk, human",1 cup,246
2705383,11000000,"Milk, human",1 fl oz,30.8
2705384,11100000,"Milk, NFS",Guideline amount per cup of hot cereal,61
2705384,11100000,"Milk, NFS",1 individual school container,244
2705384,11100000,"Milk, NFS",Quantity not specified,244
2705384,11100000,"Milk, NFS",1 fl oz,30.5
2705384,11100000,"Milk, NFS",1 cup,244
2705384,11100000,"Milk, NFS",Guideline amount per fl oz of beverage,2.5
2705385,11111000,"Milk, whole",Guideline amount per fl oz of beverage,2.5
2705385,11111000,"Milk, whole",Quantity not specified,244
2705385,11111000,"Milk, whole",Guideline amount per cup of hot cereal,61
2705385,11111000,"Milk, whole",1 individual school container,244
2705385,11111000,"Milk, whole",1 cup,244
2705385,11111000,"Milk, whole",1 fl oz,30.5
2705386,11112110,"Milk, reduced fat (2%)",1 individual school container,244
2705386,11112110,"Milk, reduced fat (2%)",1 cup,244
2705386,11112110,"Milk, reduced fat (2%)",1 fl oz,30.5
2705386,11112110,"Milk, reduced fat (2%)",Guideline amount per cup of hot cereal,61
2705386,11112110,"Milk, reduced fat (2%)",Quantity not specified,244
2705386,11112110,"Milk, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
2705387,11112210,"Milk, low fat (1%)",1 individual school container,244
2705387,11112210,"Milk, low fat (1%)",Guideline amount per cup of hot cereal,61
2705387,11112210,"Milk, low fat (1%)",1 cup,244
2705387,11112210,"Milk, low fat (1%)",Quantity not specified,244
2705387,11112210,"Milk, low fat (1%)",1 fl oz,30.5
2705387,11112210,"Milk, low fat (1%)",Guideline amount per fl oz of beverage,2.5
2705388,11113000,"Milk, fat free (skim)",1 individual school container,244
2705388,11113000,"Milk, fat free (skim)",Guideline amount per cup of hot cereal,61
2705388,11113000,"Milk, fat free (skim)",Guideline amount per fl oz of beverage,2.5
2705388,11113000,"Milk, fat free (skim)",1 fl oz,30.5
2705388,11113000,"Milk, fat free (skim)",1 cup,244
2705388,11113000,"Milk, fat free (skim)",Quantity not specified,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,61
2705389,11114300,"Milk, lactose free, low fat (1%)",1 cup,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Quantity not specified,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Guideline amount per fl oz of beverage,2.5
2705389,11114300,"Milk, lactose free, low fat (1%)",1 fl oz,30.5
2705390,11114320,"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,2.5
2705390,11114320,"Milk, lactose free, fat free (skim)",Guideline amount per cup of hot cereal,61
2705390,11114320,"Milk, lactose free, fat free (skim)",1 fl oz,30.5
2705390,11114320,"Milk, lactose free, fat free (skim)",1 cup,244
2705390,11114320,"Milk, lactose free, fat free (skim)",Quantity not specified,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",1 cup,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Quantity not specified,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Guideline amount per cup of hot cereal,61
2705391,11114330,"Milk, lactose free, reduced fat (2%)",1 fl oz,30.5
2705392,11114350,"Milk, lactose free, whole",Quantity not specified,244
2705392,11114350,"Milk, lactose free, whole",Guideline amount per cup of hot cereal,61
2705392,11114350,"Milk, lactose free, whole",Guideline amount per fl oz of beverage,2.5
2705392,11114350,"Milk, lactose free, whole",1 cup,244
2705392,11114350,"Milk, lactose free, whole",1 fl oz,30.5
2705393,11115300,Buttermilk,1 cup,244
2705393,11115300,Buttermilk,1 fl oz,30.5
2705393,11115300,Buttermilk,Quantity not specified,244
2705394,11115400,Kefir,1 fl oz,30.5
2705394,11115400,Kefir,Quantity not specified,244
2705394,11115400,Kefir,1 cup,244
2705395,11116000,Goat milk,Quantity not specified,244
2705395,11116000,Goat milk,1 fl oz,30.5
2705395,11116000,Goat milk,Guideline amount per fl oz of beverage,2.5
2705395,11116000,Goat milk,1 cup,244
2705395,11116000,Goat milk,Guideline amount per cup of hot cereal,61
2705396,11120000,"Milk, dry, reconstituted, nonfat",Guideline amount per cup of hot cereal,61
2705396,11120000,"Milk, dry, reconstituted, nonfat",Quantity not specified,244
2705396,11120000,"Milk, dry, reconstituted, nonfat",1 cup,244
2705396,11120000,"Milk, dry, reconstituted, nonfat",Guideline amount per fl oz of beverage,2.5
2705396,11120000,"Milk, dry, reconstituted, nonfat",1 fl oz,30.5
2705397,11121100,"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,61
2705397,11121100,"Milk, dry, reconstituted, whole",1 fl oz,30.5
2705397,11121100,"Milk, dry, reconstituted, whole",1 cup,244
2705397,11121100,"Milk, dry, reconstituted, whole",Quantity not specified,244
2705397,11121100,"Milk, dry, reconstituted, whole",Guideline amount per fl oz of beverage,2.5
2705398,11210050,"Milk, evaporated, NS as to fat content",1 fl oz,31.5
2705398,11210050,"Milk, evaporated, NS as to fat content",Guideline amount per fl oz of beverage,2.6
2705398,11210050,"Milk, evaporated, NS as to fat content",Quantity not specified,16
2705398,11210050,"Milk, evaporated, NS as to fat content",Guideline amount per cup of hot cereal,63
2705398,11210050,"Milk, evaporated, NS as to fat content",1 cup,252
2705399,11211050,"Milk, evaporated, whole",1 fl oz,31.5
2705399,11211050,"Milk, evaporated, whole",Guideline amount per cup of hot cereal,63
2705399,11211050,"Milk, evaporated, whole",Quantity not specified,16
2705399,11211050,"Milk, evaporated, whole",1 cup,252
2705399,11211050,"Milk, evaporated, whole",Guideline amount per fl oz of beverage,2.6
2705400,11211400,"Milk, evaporated, reduced fat (2%)",1 fl oz,31.5
2705400,11211400,"Milk, evaporated, reduced fat (2%)",Quantity not specified,16
2705400,11211400,"Milk, evaporated, reduced fat (2%)",Guideline amount per cup of hot cereal,63
2705400,11211400,"Milk, evaporated, reduced fat (2%)",1 cup,252
2705401,11212050,"Milk, evaporated, fat free (skim)",1 fl oz,31.5
2705401,11212050,"Milk, evaporated, fat free (skim)",Quantity not specified,16
2705401,11212050,"Milk, evaporated, fat free (skim)",Guideline amount per cup of hot cereal,63
2705401,11212050,"Milk, evaporated, fat free (skim)",1 cup,252
2705401,11212050,"Milk, evaporated, fat free (skim)",Guideline amount per fl oz of beverage,2.6
2705402,11220000,"Milk, condensed, sweetened",1 cup,304
2705402,11220000,"Milk, condensed, sweetened",1 fl oz,38
2705402,11220000,"Milk, condensed, sweetened",Quantity not specified,19
2705403,11300100,"Non-dairy milk, NFS",1 fl oz,30.5
2705403,11300100,"Non-dairy milk, NFS",Quantity not specified,244
2705403,11300100,"Non-dairy milk, NFS",Guideline amount per cup of hot cereal,61
2705403,11300100,"Non-dairy milk, NFS",1 cup,244
2705403,11300100,"Non-dairy milk, NFS",Guideline amount per fl oz of beverage,2.5
2705404,11320000,"Soy milk, sweetened",Guideline amount per fl oz of beverage,2.5
2705404,11320000,"Soy milk, sweetened",1 cup,244
2705404,11320000,"Soy milk, sweetened",Quantity not specified,244
2705404,11320000,"Soy milk, sweetened",Guideline amount per cup of hot cereal,61
2705404,11320000,"Soy milk, sweetened",1 fl oz,30.5
2705405,11320100,"Soy milk, unsweetened",Guideline amount per fl oz of beverage,2.5
2705405,11320100,"Soy milk, unsweetened",Guideline amount per cup of hot cereal,61
2705405,11320100,"Soy milk, unsweetened",Quantity not specified,244
2705405,11320100,"Soy milk, unsweetened",1 cup,244
2705405,11320100,"Soy milk, unsweetened",1 fl oz,30.5
2705406,11321000,"Soy milk, chocolate",1 fl oz,30.5
2705406,11321000,"Soy milk, chocolate",1 cup,244
2705406,11321000,"Soy milk, chocolate",Quantity not specified,244
2705407,11350000,"Almond milk, sweetened",1 cup,244
2705407,11350000,"Almond milk, sweetened",Guideline amount per fl oz of beverage,2.5
2705407,11350000,"Almond milk, sweetened",1 fl oz,30.5
2705407,11350000,"Almond milk, sweetened",Quantity not specified,244
2705407,11350000,"Almond milk, sweetened",Guideline amount per cup of hot cereal,61
2705408,11350010,"Almond milk, chocolate",1 cup,244
2705408,11350010,"Almond milk, chocolate",Quantity not specified,244
2705408,11350010,"Almond milk, chocolate",1 fl oz,30.5
2705409,11350020,"Almond milk, unsweetened",Guideline amount per cup of hot cereal,61
2705409,11350020,"Almond milk, unsweetened",Quantity not specified,244
2705409,11350020,"Almond milk, unsweetened",1 cup,244
2705409,11350020,"Almond milk, unsweetened",Guideline amount per fl oz of beverage,2.5
2705409,11350020,"Almond milk, unsweetened",1 fl oz,30.5
2705410,11350040,"Almond milk, NFS",Guideline amount per fl oz of beverage,2.5
2705410,11350040,"Almond milk, NFS",Quantity not specified,244
2705410,11350040,"Almond milk, NFS",1 fl oz,30.5
2705410,11350040,"Almond milk, NFS",Guideline amount per cup of hot cereal,61
2705410,11350040,"Almond milk, NFS",1 cup,244
2705411,11360000,Rice milk,1 cup,244
2705411,11360000,Rice milk,Guideline amount per fl oz of beverage,2.5
2705411,11360000,Rice milk,1 fl oz,30.5
2705411,11360000,Rice milk,Guideline amount per cup of hot cereal,61
2705411,11360000,Rice milk,Quantity not specified,244
2705412,11360200,Oat milk,Quantity not specified,244
2705412,11360200,Oat milk,Guideline amount per cup of hot cereal,61
2705412,11360200,Oat milk,1 cup,244
2705412,11360200,Oat milk,Guideline amount per fl oz of beverage,2.5
2705412,11360200,Oat milk,1 fl oz,30.5
2705413,11370000,Coconut milk,Guideline amount per fl oz of beverage,2.5
2705413,11370000,Coconut milk,Quantity not specified,244
2705413,11370000,Coconut milk,1 cup,244
2705413,11370000,Coconut milk,1 fl oz,30.5
2705413,11370000,Coconut milk,Guideline amount per cup of hot cereal,61
2705414,11400000,"Yogurt, NFS",Quantity not specified,170
2705414,11400000,"Yogurt, NFS",1 4 oz container,113
2705414,11400000,"Yogurt, NFS","1 container, NFS",170
2705414,11400000,"Yogurt, NFS",1 6 oz container,170
2705414,11400000,"Yogurt, NFS",1 cup,245
2705415,11400010,"Yogurt, Greek, NS as to type of milk or flavor",Quantity not specified,150
2705415,11400010,"Yogurt, Greek, NS as to type of milk or flavor",1 cup,245
2705415,11400010,"Yogurt, Greek, NS as to type of milk or flavor",1 5.3 oz container,150
2705415,11400010,"Yogurt, Greek, NS as to type of milk or flavor",1 6 oz container,170
2705415,11400010,"Yogurt, Greek, NS as to type of milk or flavor","1 container, NFS",150
2705416,11410000,"Yogurt, NS as to type of milk or flavor",1 cup,245
2705416,11410000,"Yogurt, NS as to type of milk or flavor","1 container, NFS",170
2705416,11410000,"Yogurt, NS as to type of milk or flavor",Quantity not specified,170
2705416,11410000,"Yogurt, NS as to type of milk or flavor",1 6 oz container,170
2705416,11410000,"Yogurt, NS as to type of milk or flavor",1 4 oz container,113
2705417,11411010,"Yogurt, NS as to type of milk, plain",1 cup,245
2705417,11411010,"Yogurt, NS as to type of milk, plain","1 container, NFS",170
2705417,11411010,"Yogurt, NS as to type of milk, plain",1 6 oz container,170
2705417,11411010,"Yogurt, NS as to type of milk, plain",1 4 oz container,113
2705417,11411010,"Yogurt, NS as to type of milk, plain",Quantity not specified,170
2705418,11411100,"Yogurt, whole milk, plain",Quantity not specified,170
2705418,11411100,"Yogurt, whole milk, plain",1 cup,245
2705418,11411100,"Yogurt, whole milk, plain",1 6 oz container,170
2705418,11411100,"Yogurt, whole milk, plain",1 4 oz container,113
2705418,11411100,"Yogurt, whole milk, plain","1 container, NFS",170
2705419,11411200,"Yogurt, low fat milk, plain",1 cup,245
2705419,11411200,"Yogurt, low fat milk, plain",1 4 oz container,113
2705419,11411200,"Yogurt, low fat milk, plain",1 6 oz container,170
2705419,11411200,"Yogurt, low fat milk, plain",Quantity not specified,170
2705419,11411200,"Yogurt, low fat milk, plain","1 container, NFS",170
2705420,11411300,"Yogurt, nonfat milk, plain",Quantity not specified,170
2705420,11411300,"Yogurt, nonfat milk, plain",1 6 oz container,170
2705420,11411300,"Yogurt, nonfat milk, plain","1 container, NFS",170
2705420,11411300,"Yogurt, nonfat milk, plain",1 cup,245
2705420,11411300,"Yogurt, nonfat milk, plain",1 4 oz container,113
2705421,11411390,"Yogurt, Greek, NS as to type of milk, plain","1 container, NFS",150
2705421,11411390,"Yogurt, Greek, NS as to type of milk, plain",Quantity not specified,150
2705421,11411390,"Yogurt, Greek, NS as to type of milk, plain",1 5.3 oz container,150
2705421,11411390,"Yogurt, Greek, NS as to type of milk, plain",1 cup,245
2705421,11411390,"Yogurt, Greek, NS as to type of milk, plain",1 6 oz container,170
2705422,11411400,"Yogurt, Greek, whole milk, plain","1 container, NFS",150
2705422,11411400,"Yogurt, Greek, whole milk, plain",1 cup,245
2705422,11411400,"Yogurt, Greek, whole milk, plain",Quantity not specified,150
2705422,11411400,"Yogurt, Greek, whole milk, plain",1 5.3 oz container,150
2705422,11411400,"Yogurt, Greek, whole milk, plain",1 6 oz container,170
2705423,11411410,"Yogurt, Greek, low fat milk, plain",Quantity not specified,150
2705423,11411410,"Yogurt, Greek, low fat milk, plain","1 container, NFS",150
2705423,11411410,"Yogurt, Greek, low fat milk, plain",1 6 oz container,170
2705423,11411410,"Yogurt, Greek, low fat milk, plain",1 cup,245
2705423,11411410,"Yogurt, Greek, low fat milk, plain",1 5.3 oz container,150
2705424,11411420,"Yogurt, Greek, nonfat milk, plain",Quantity not specified,150
2705424,11411420,"Yogurt, Greek, nonfat milk, plain",1 6 oz container,170
2705424,11411420,"Yogurt, Greek, nonfat milk, plain","1 container, NFS",150
2705424,11411420,"Yogurt, Greek, nonfat milk, plain",1 5.3 oz container,150
2705424,11411420,"Yogurt, Greek, nonfat milk, plain",1 cup,245
2705425,11430000,"Yogurt, NS as to type of milk, fruit","1 container, NFS",170
2705425,11430000,"Yogurt, NS as to type of milk, fruit",1 6 oz container,170
2705425,11430000,"Yogurt, NS as to type of milk, fruit",Quantity not specified,170
2705425,11430000,"Yogurt, NS as to type of milk, fruit",1 cup,245
2705425,11430000,"Yogurt, NS as to type of milk, fruit",1 4 oz container,113
2705426,11431000,"Yogurt, whole milk, fruit",1 cup,245
2705426,11431000,"Yogurt, whole milk, fruit",1 4 oz container,113
2705426,11431000,"Yogurt, whole milk, fruit",1 6 oz container,170
2705426,11431000,"Yogurt, whole milk, fruit","1 container, NFS",170
2705426,11431000,"Yogurt, whole milk, fruit",Quantity not specified,170
2705427,11432000,"Yogurt, low fat milk, fruit",1 6 oz container,170
2705427,11432000,"Yogurt, low fat milk, fruit",1 cup,245
2705427,11432000,"Yogurt, low fat milk, fruit",1 4 oz container,113
2705427,11432000,"Yogurt, low fat milk, fruit","1 container, NFS",170
2705427,11432000,"Yogurt, low fat milk, fruit",Quantity not specified,170
2705428,11433000,"Yogurt, nonfat milk, fruit",Quantity not specified,170
2705428,11433000,"Yogurt, nonfat milk, fruit",1 6 oz container,170
2705428,11433000,"Yogurt, nonfat milk, fruit","1 container, NFS",170
2705428,11433000,"Yogurt, nonfat milk, fruit",1 cup,245
2705428,11433000,"Yogurt, nonfat milk, fruit",1 4 oz container,113
2705429,11433990,"Yogurt, Greek, NS as to type of milk, fruit",1 5.3 oz container,150
2705429,11433990,"Yogurt, Greek, NS as to type of milk, fruit","1 container, NFS",150
2705429,11433990,"Yogurt, Greek, NS as to type of milk, fruit",1 cup,245
2705429,11433990,"Yogurt, Greek, NS as to type of milk, fruit",1 6 oz container,170
2705429,11433990,"Yogurt, Greek, NS as to type of milk, fruit",Quantity not specified,150
2705430,11434000,"Yogurt, Greek, whole milk, fruit",Quantity not specified,150
2705430,11434000,"Yogurt, Greek, whole milk, fruit",1 6 oz container,170
2705430,11434000,"Yogurt, Greek, whole milk, fruit","1 container, NFS",150
2705430,11434000,"Yogurt, Greek, whole milk, fruit",1 cup,245
2705430,11434000,"Yogurt, Greek, whole milk, fruit",1 5.3 oz container,150
2705431,11434010,"Yogurt, Greek, low fat milk, fruit",Quantity not specified,150
2705431,11434010,"Yogurt, Greek, low fat milk, fruit",1 6 oz container,170
2705431,11434010,"Yogurt, Greek, low fat milk, fruit","1 container, NFS",150
2705431,11434010,"Yogurt, Greek, low fat milk, fruit",1 cup,245
2705431,11434010,"Yogurt, Greek, low fat milk, fruit",1 5.3 oz container,150
2705432,11434020,"Yogurt, Greek, nonfat milk, fruit",1 6 oz container,170
2705432,11434020,"Yogurt, Greek, nonfat milk, fruit",1 5.3 oz container,150
2705432,11434020,"Yogurt, Greek, nonfat milk, fruit",1 cup,245
2705432,11434020,"Yogurt, Greek, nonfat milk, fruit","1 container, NFS",150
2705432,11434020,"Yogurt, Greek, nonfat milk, fruit",Quantity not specified,150
2705433,11434090,"Yogurt, NS as to type of milk, flavors other than fruit",Quantity not specified,170
2705433,11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1 6 oz container,170
2705433,11434090,"Yogurt, NS as to type of milk, flavors other than fruit","1 container, NFS",170
2705433,11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1 cup,245
2705433,11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1 4 oz container,113
2705434,11434100,"Yogurt, whole milk, flavors other than fruit",Quantity not specified,170
2705434,11434100,"Yogurt, whole milk, flavors other than fruit",1 6 oz container,170
2705434,11434100,"Yogurt, whole milk, flavors other than fruit","1 container, NFS",170
2705434,11434100,"Yogurt, whole milk, flavors other than fruit",1 4 oz container,113
2705434,11434100,"Yogurt, whole milk, flavors other than fruit",1 cup,245
2705435,11434200,"Yogurt, low fat milk, flavors other than fruit",1 cup,245
2705435,11434200,"Yogurt, low fat milk, flavors other than fruit","1 container, NFS",170
2705435,11434200,"Yogurt, low fat milk, flavors other than fruit",Quantity not specified,170
2705435,11434200,"Yogurt, low fat milk, flavors other than fruit",1 6 oz container,170
2705435,11434200,"Yogurt, low fat milk, flavors other than fruit",1 4 oz container,113
2705436,11434300,"Yogurt, nonfat milk, flavors other than fruit",1 6 oz container,170
2705436,11434300,"Yogurt, nonfat milk, flavors other than fruit","1 container, NFS",170
2705436,11434300,"Yogurt, nonfat milk, flavors other than fruit",1 cup,245
2705436,11434300,"Yogurt, nonfat milk, flavors other than fruit",Quantity not specified,170
2705436,11434300,"Yogurt, nonfat milk, flavors other than fruit",1 4 oz container,113
2705437,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 5.3 oz container,150
2705437,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Quantity not specified,150
2705437,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit","1 container, NFS",150
2705437,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 cup,245
2705437,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 6 oz container,170
2705438,11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1 6 oz container,170
2705438,11435010,"Yogurt, Greek, whole milk, flavors other than fruit",Quantity not specified,150
2705438,11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1 5.3 oz container,150
2705438,11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1 cup,245
2705438,11435010,"Yogurt, Greek, whole milk, flavors other than fruit","1 container, NFS",150
2705439,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1 5.3 oz container,150
2705439,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit","1 container, NFS",150
2705439,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1 6 oz container,170
2705439,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1 cup,245
2705439,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",Quantity not specified,150
2705440,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit","1 container, NFS",150
2705440,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1 6 oz container,170
2705440,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",Quantity not specified,150
2705440,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1 5.3 oz container,150
2705440,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1 cup,245
2705441,11435100,"Yogurt, Greek, with oats",Quantity not specified,150
2705441,11435100,"Yogurt, Greek, with oats",1 cup,245
2705441,11435100,"Yogurt, Greek, with oats","1 container, NFS",150
2705441,11435100,"Yogurt, Greek, with oats",1 5.3 oz container,150
2705442,11436000,"Yogurt, liquid",1 bottle,150
2705442,11436000,"Yogurt, liquid",Quantity not specified,150
2705442,11436000,"Yogurt, liquid",1 cup,245
2705443,11436100,Yogurt tube,1 tube,75
2705443,11436100,Yogurt tube,Quantity not specified,75
2705444,11440010,"Chipotle dip, yogurt based",1 individual container,70
2705444,11440010,"Chipotle dip, yogurt based",1 tablespoon,15
2705444,11440010,"Chipotle dip, yogurt based",Quantity not specified,60
2705445,11440030,"Onion dip, yogurt based",Quantity not specified,60
2705445,11440030,"Onion dip, yogurt based",1 tablespoon,15
2705445,11440030,"Onion dip, yogurt based",1 individual container,70
2705446,11440040,"Ranch dip, yogurt based",Quantity not specified,60
2705446,11440040,"Ranch dip, yogurt based",1 tablespoon,15
2705446,11440040,"Ranch dip, yogurt based",1 individual container,70
2705447,11440050,"Spinach dip, yogurt based",1 individual container,70
2705447,11440050,"Spinach dip, yogurt based",Quantity not specified,60
2705447,11440050,"Spinach dip, yogurt based",1 tablespoon,15
2705448,11440060,Tzatziki dip,1 tablespoon,15
2705448,11440060,Tzatziki dip,Quantity not specified,60
2705448,11440060,Tzatziki dip,1 individual container,70
2705449,11440070,"Vegetable dip, yogurt based",1 individual container,70
2705449,11440070,"Vegetable dip, yogurt based",Quantity not specified,60
2705449,11440070,"Vegetable dip, yogurt based",1 tablespoon,15
2705450,11446000,"Yogurt parfait, with fruit",1 McDonald's parfait,150
2705450,11446000,"Yogurt parfait, with fruit",Quantity not specified,150
2705451,11459990,"Frozen yogurt, NFS",1 scoop,160
2705451,11459990,"Frozen yogurt, NFS",1 cup,175
2705451,11459990,"Frozen yogurt, NFS",1 large ice cream cup,480
2705451,11459990,"Frozen yogurt, NFS",1 small ice cream cup,160
2705451,11459990,"Frozen yogurt, NFS",1 medium ice cream cup,320
2705451,11459990,"Frozen yogurt, NFS",Quantity not specified,175
2705452,11460000,"Frozen yogurt, vanilla",1 cup,175
2705452,11460000,"Frozen yogurt, vanilla",1 small ice cream cup,160
2705452,11460000,"Frozen yogurt, vanilla",Quantity not specified,175
2705452,11460000,"Frozen yogurt, vanilla",1 large ice cream cup,480
2705452,11460000,"Frozen yogurt, vanilla",1 medium ice cream cup,320
2705452,11460000,"Frozen yogurt, vanilla",1 scoop,160
2705453,11460100,"Frozen yogurt, chocolate",1 cup,175
2705453,11460100,"Frozen yogurt, chocolate",1 large ice cream cup,480
2705453,11460100,"Frozen yogurt, chocolate",1 medium ice cream cup,320
2705453,11460100,"Frozen yogurt, chocolate",1 small ice cream cup,160
2705453,11460100,"Frozen yogurt, chocolate",Quantity not specified,175
2705453,11460100,"Frozen yogurt, chocolate",1 scoop,160
2705454,11460500,"Frozen yogurt, soft serve, vanilla",Quantity not specified,175
2705454,11460500,"Frozen yogurt, soft serve, vanilla",1 cup,175
2705455,11460510,"Frozen yogurt, soft serve, chocolate",1 cup,175
2705455,11460510,"Frozen yogurt, soft serve, chocolate",Quantity not specified,175
2705456,11461200,Frozen yogurt sandwich,1 sandwich,75
2705456,11461200,Frozen yogurt sandwich,Quantity not specified,75
2705457,11461210,"Frozen yogurt bar, vanilla",1 bar,65
2705457,11461210,"Frozen yogurt bar, vanilla",Quantity not specified,65
2705458,11461220,"Frozen yogurt bar, chocolate",Quantity not specified,65
2705458,11461220,"Frozen yogurt bar, chocolate",1 bar,65
2705459,11461250,"Frozen yogurt cone, chocolate",Quantity not specified,125
2705459,11461250,"Frozen yogurt cone, chocolate",1 cone,125
2705460,11461260,"Frozen yogurt cone, vanilla",Quantity not specified,125
2705460,11461260,"Frozen yogurt cone, vanilla",1 cone,125
2705461,11461300,"Frozen yogurt cone, vanilla, waffle cone",Quantity not specified,255
2705461,11461300,"Frozen yogurt cone, vanilla, waffle cone",1 cone,255
2705462,11461320,"Frozen yogurt cone, chocolate, waffle cone",1 cone,255
2705462,11461320,"Frozen yogurt cone, chocolate, waffle cone",Quantity not specified,255
2705463,11480000,"Baby Toddler food, NFS",Quantity not specified,110
2705463,11480000,"Baby Toddler food, NFS",1 pouch,110
2705463,11480000,"Baby Toddler food, NFS",1 jar,110
2705463,11480000,"Baby Toddler food, NFS",1 tablespoon,15
2705463,11480000,"Baby Toddler food, NFS",1 tub,110
2705464,11480010,"Baby Toddler yogurt, plain",Quantity not specified,110
2705464,11480010,"Baby Toddler yogurt, plain",1 container,110
2705464,11480010,"Baby Toddler yogurt, plain",1 tablespoon,15
2705464,11480010,"Baby Toddler yogurt, plain",1 pouch,110
2705465,11480100,"Baby Toddler yogurt, with fruit",1 container,110
2705465,11480100,"Baby Toddler yogurt, with fruit",1 tablespoon,15
2705465,11480100,"Baby Toddler yogurt, with fruit",1 pouch,110
2705465,11480100,"Baby Toddler yogurt, with fruit",Quantity not specified,110
2705466,11511000,"Chocolate milk, NFS",1 individual school container,248
2705466,11511000,"Chocolate milk, NFS",1 fl oz,31
2705466,11511000,"Chocolate milk, NFS",Quantity not specified,248
2705466,11511000,"Chocolate milk, NFS",1 cup,248
2705467,11511100,"Chocolate milk, whole",1 fl oz,31
2705467,11511100,"Chocolate milk, whole",1 individual school container,248
2705467,11511100,"Chocolate milk, whole",1 cup,248
2705467,11511100,"Chocolate milk, whole",Quantity not specified,248
2705468,11511200,"Chocolate milk, reduced fat (2%)",1 individual school container,248
2705468,11511200,"Chocolate milk, reduced fat (2%)",Quantity not specified,248
2705468,11511200,"Chocolate milk, reduced fat (2%)",1 cup,248
2705468,11511200,"Chocolate milk, reduced fat (2%)",1 fl oz,31
2705469,11511300,"Chocolate milk, fat free (skim)",1 cup,248
2705469,11511300,"Chocolate milk, fat free (skim)",1 individual school container,248
2705469,11511300,"Chocolate milk, fat free (skim)",1 fl oz,31
2705469,11511300,"Chocolate milk, fat free (skim)",Quantity not specified,248
2705470,11511400,"Chocolate milk, low fat (1%)",Quantity not specified,248
2705470,11511400,"Chocolate milk, low fat (1%)",1 fl oz,31
2705470,11511400,"Chocolate milk, low fat (1%)",1 individual school container,248
2705470,11511400,"Chocolate milk, low fat (1%)",1 cup,248
2705471,11511550,"Chocolate milk, reduced sugar, NFS",1 cup,248
2705471,11511550,"Chocolate milk, reduced sugar, NFS",1 fl oz,31
2705471,11511550,"Chocolate milk, reduced sugar, NFS",Quantity not specified,248
2705471,11511550,"Chocolate milk, reduced sugar, NFS",1 individual school container,248
2705472,11512005,"Hot chocolate / cocoa, NFS",1 fl oz,31
2705472,11512005,"Hot chocolate / cocoa, NFS",1 cup,248
2705472,11512005,"Hot chocolate / cocoa, NFS",Quantity not specified,248
2705473,11512010,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",Quantity not specified,248
2705473,11512010,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",1 cup,248
2705473,11512010,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",1 fl oz,31
2705474,11512020,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",Quantity not specified,248
2705474,11512020,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",1 cup,248
2705474,11512020,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",1 fl oz,31
2705475,11512030,"Hot chocolate / cocoa, made with non-dairy milk",Quantity not specified,248
2705475,11512030,"Hot chocolate / cocoa, made with non-dairy milk",1 cup,248
2705475,11512030,"Hot chocolate / cocoa, made with non-dairy milk",1 fl oz,31
2705476,11512100,"Hot chocolate / cocoa, with whipped cream",Quantity not specified,248
2705476,11512100,"Hot chocolate / cocoa, with whipped cream",1 fl oz,31
